Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-11-01,14:35:00,42.76,43.63,42.58,43.03,9600,0
2016-11-01,14:40:00,43.01,43.01,42,42.28,10461,0
2016-11-01,14:45:00,42.405,42.6,42.16,42.57,11850,0
2016-11-01,14:50:00,42.39,42.6066,42.26,42.4,17551,0
2016-11-01,14:55:00,42.44,42.75,42.33,42.64,26350,0
2016-11-01,15:00:00,42.64,42.6827,42.53,42.63,5756,0
2016-11-01,15:05:00,42.65,42.69,42.37,42.375,7305,0
2016-11-01,15:10:00,42.275,42.51,42.275,42.44,7000,0
2016-11-01,15:15:00,42.46,42.68,42.445,42.6,5900,0
2016-11-01,15:20:00,42.67,42.695,42.58,42.645,11050,0
2016-11-01,15:25:00,42.68,42.8,42.56,42.56,7100,0
2016-11-01,15:30:00,42.6,42.6,42.37,42.42,9241,0
2016-11-01,15:35:00,42.45,42.5,42.31,42.32,9300,0
2016-11-01,15:40:00,42.32,42.47,42.25,42.46,10300,0
2016-11-01,15:45:00,42.5,42.59,42.08,42.08,11700,0
2016-11-01,15:50:00,42.07,42.24,41.91,42.09,8993,0
2016-11-01,15:55:00,42.1,42.35,42.1,42.22,7817,0
2016-11-01,16:00:00,42.22,42.22,42.08,42.12,3050,0
2016-11-01,16:05:00,42.075,42.32,42.075,42.25,4800,0
2016-11-01,16:10:00,42.17,42.24,41.83,41.85,14725,0
2016-11-01,16:15:00,41.85,41.91,41.72,41.875,13707,0
2016-11-01,16:20:00,41.87,41.93,41.7,41.89,8304,0
2016-11-01,16:25:00,41.9319,41.97,41.71,41.72,8055,0
2016-11-01,16:30:00,41.73,41.91,41.73,41.89,8288,0
2016-11-01,16:35:00,41.89,41.89,41.75,41.75,4481,0
2016-11-01,16:40:00,41.77,41.91,41.77,41.785,3700,0
2016-11-01,16:45:00,41.85,41.85,41.74,41.8,4100,0
2016-11-01,16:50:00,41.84,42.015,41.79,41.85,15472,0
2016-11-01,16:55:00,41.845,41.99,41.79,41.99,18100,0
2016-11-01,17:00:00,41.97,42.12,41.96,42.12,5328,0
2016-11-01,17:05:00,42.18,42.18,41.91,42.03,11900,0
2016-11-01,17:10:00,42.02,42.09,42.01,42.0675,3260,0
2016-11-01,17:15:00,42.07,42.17,42.03,42.09,6123,0
2016-11-01,17:20:00,42.08,42.26,42.03,42.085,11254,0
2016-11-01,17:25:00,42.06,42.185,42.05,42.185,1900,0
2016-11-01,17:30:00,42.17,42.19,42.01,42.1,4700,0
2016-11-01,17:35:00,42.13,42.16,42,42.11,3100,0
2016-11-01,17:40:00,42.145,42.205,42.09,42.204,3800,0
2016-11-01,17:45:00,42.19,42.26,42.09,42.09,2900,0
2016-11-01,17:50:00,42.11,42.18,42.09,42.14,2500,0
2016-11-01,17:55:00,42.05,42.19,42.05,42.13,6000,0
2016-11-01,18:00:00,42.08,42.12,42.07,42.1,2300,0
2016-11-01,18:05:00,42.13,42.1642,42.07,42.1642,2920,0
2016-11-01,18:10:00,42.1,42.15,42.01,42.13,5680,0
2016-11-01,18:15:00,42.13,42.14,42.08,42.14,2900,0
2016-11-01,18:20:00,42.1,42.138,42.06,42.1,6300,0
2016-11-01,18:25:00,42.11,42.19,42.05,42.18,5300,0
2016-11-01,18:30:00,42.19,42.25,42.155,42.25,5198,0
2016-11-01,18:35:00,42.25,42.25,41.97,42.02,5227,0
2016-11-01,18:40:00,41.94,41.9776,41.86,41.905,4196,0
2016-11-01,18:45:00,41.92,42.04,41.905,42.04,17488,0
2016-11-01,18:50:00,42.06,42.06,41.97,41.98,5131,0
2016-11-01,18:55:00,42.01,42.03,41.97,42.03,6563,0
2016-11-01,19:00:00,42.05,42.06,41.91,42.01,8100,0
2016-11-01,19:05:00,42.01,42.03,41.945,42,15756,0
2016-11-01,19:10:00,41.99,42.015,41.71,41.88,26396,0
2016-11-01,19:15:00,41.885,41.9161,41.865,41.89,4487,0
2016-11-01,19:20:00,41.78,41.78,41.55,41.7,14680,0
2016-11-01,19:25:00,41.72,41.7901,41.675,41.69,11600,0
2016-11-01,19:30:00,41.72,41.97,41.72,41.97,7202,0
2016-11-01,19:35:00,41.94,42.015,41.81,41.97,7200,0
2016-11-01,19:40:00,41.97,42.02,41.94,41.98,5500,0
2016-11-01,19:45:00,41.94,41.99,41.84,41.96,6200,0
2016-11-01,19:50:00,41.98,42.02,41.94,41.99,13820,0
2016-11-01,19:55:00,41.985,42.37,41.89,42.26,21583,0
2016-11-01,20:00:00,42.26,42.26,42.1,42.19,12792,0
2016-11-01,20:05:00,42.19,42.199,42.06,42.08,5878,0
2016-11-01,20:10:00,42.17,42.35,42.13,42.35,9317,0
2016-11-01,20:15:00,42.3,42.34,42.22,42.25,3030,0
2016-11-01,20:20:00,42.22,42.35,42.17,42.26,10669,0
2016-11-01,20:25:00,42.23,42.27,42.12,42.12,5267,0
2016-11-01,20:30:00,42.2,42.2,42.05,42.15,8375,0
2016-11-01,20:35:00,42.15,42.18,42.06,42.1289,5863,0
2016-11-01,20:40:00,42.12,42.36,42.11,42.355,12415,0
2016-11-01,20:45:00,42.33,42.335,42.25,42.32,6147,0
2016-11-01,20:50:00,42.345,42.53,42.26,42.53,29615,0
2016-11-01,20:55:00,42.51,42.61,42.46,42.59,15366,0
2016-11-01,21:00:00,42.585,42.585,42.36,42.49,54227,0
2016-11-02,14:35:00,41.77,42.08,41.75,41.8,11971,0
2016-11-02,14:40:00,41.8,42.2199,41.77,42.095,9425,0
2016-11-02,14:45:00,42.02,42.14,41.88,42.05,7245,0
2016-11-02,14:50:00,41.96,42.13,41.63,41.63,15336,0
2016-11-02,14:55:00,41.63,41.73,41.36,41.7,15280,0
2016-11-02,15:00:00,41.68,42,41.67,41.925,9340,0
2016-11-02,15:05:00,41.88,42.02,41.67,42.02,12069,0
2016-11-02,15:10:00,41.95,42.01,41.75,41.78,4500,0
2016-11-02,15:15:00,41.84,41.85,41.64,41.745,12650,0
2016-11-02,15:20:00,41.745,41.9,41.56,41.61,6900,0
2016-11-02,15:25:00,41.56,41.6599,41.4,41.405,8250,0
2016-11-02,15:30:00,41.37,41.57,41.2801,41.35,15031,0
2016-11-02,15:35:00,41.35,41.37,40.78,40.83,25230,0
2016-11-02,15:40:00,40.81,41.1499,40.775,41.07,9250,0
2016-11-02,15:45:00,41.1,41.1263,40.63,40.75,10617,0
2016-11-02,15:50:00,40.76,40.83,40.69,40.705,16550,0
2016-11-02,15:55:00,40.69,40.8,40.54,40.64,11246,0
2016-11-02,16:00:00,40.65,40.71,40.32,40.32,9751,0
2016-11-02,16:05:00,40.32,40.6,40.32,40.39,10054,0
2016-11-02,16:10:00,40.35,40.65,40.29,40.65,5300,0
2016-11-02,16:15:00,40.64,40.64,40.42,40.42,3600,0
2016-11-02,16:20:00,40.47,40.6,40.4,40.595,4724,0
2016-11-02,16:25:00,40.595,40.695,40.49,40.66,23759,0
2016-11-02,16:30:00,40.7131,40.96,40.61,40.87,10613,0
2016-11-02,16:35:00,40.92,40.93,40.81,40.89,7800,0
2016-11-02,16:40:00,40.81,40.92,40.6908,40.87,9725,0
2016-11-02,16:45:00,40.84,40.91,40.57,40.8197,11300,0
2016-11-02,16:50:00,40.7401,41.08,40.73,40.95,14569,0
2016-11-02,16:55:00,40.94,40.94,40.65,40.65,2877,0
2016-11-02,17:00:00,40.6,40.67,40.54,40.59,12700,0
2016-11-02,17:05:00,40.56,40.62,40.51,40.54,19671,0
2016-11-02,17:10:00,40.49,40.49,40.28,40.39,6796,0
2016-11-02,17:15:00,40.39,40.408,40.26,40.32,1800,0
2016-11-02,17:20:00,40.32,40.32,40.2,40.24,4850,0
2016-11-02,17:25:00,40.2348,40.37,40.17,40.27,11254,0
2016-11-02,17:30:00,40.27,40.6,40.27,40.53,6400,0
2016-11-02,17:35:00,40.54,40.57,40.48,40.53,3200,0
2016-11-02,17:40:00,40.53,40.63,40.53,40.57,4000,0
2016-11-02,17:45:00,40.61,40.77,40.57,40.74,3500,0
2016-11-02,17:50:00,40.73,40.77,40.67,40.7,2700,0
2016-11-02,17:55:00,40.67,40.72,40.63,40.64,3466,0
2016-11-02,18:00:00,40.64,40.73,40.62,40.716,2490,0
2016-11-02,18:05:00,40.65,40.7667,40.52,40.5301,3850,0
2016-11-02,18:10:00,40.575,40.575,40.37,40.4,4005,0
2016-11-02,18:15:00,40.37,40.49,40.37,40.41,3808,0
2016-11-02,18:20:00,40.41,40.46,40.4,40.41,16268,0
2016-11-02,18:25:00,40.42,40.445,40.4,40.4,7466,0
2016-11-02,18:30:00,40.4,40.45,40.4,40.45,2900,0
2016-11-02,18:35:00,40.41,40.529,40.4,40.43,4100,0
2016-11-02,18:40:00,40.41,40.43,40.32,40.34,2700,0
2016-11-02,18:45:00,40.4,40.4,40.3,40.32,3730,0
2016-11-02,18:50:00,40.36,40.37,40.115,40.129,7300,0
2016-11-02,18:55:00,40.1918,40.1918,40.03,40.06,10104,0
2016-11-02,19:00:00,40.04,40.1201,40.02,40.0807,6868,0
2016-11-02,19:05:00,40.13,40.37,40.02,40.05,28823,0
2016-11-02,19:10:00,40.05,40.12,40.02,40.02,12750,0
2016-11-02,19:15:00,40.04,40.09,38.35,39.91,82737,0
2016-11-02,19:20:00,39.855,39.92,39.6,39.61,11222,0
2016-11-02,19:25:00,39.8,39.8,39.37,39.46,25911,0
2016-11-02,19:30:00,39.48,39.685,39.4575,39.55,11223,0
2016-11-02,19:35:00,39.59,39.6,39.26,39.44,16652,0
2016-11-02,19:40:00,39.44,39.74,39.39,39.7,14052,0
2016-11-02,19:45:00,39.7,39.795,39.6,39.615,6512,0
2016-11-02,19:50:00,39.46,39.66,39.43,39.5,5010,0
2016-11-02,19:55:00,39.49,39.54,39.4295,39.45,5300,0
2016-11-02,20:00:00,39.525,39.595,39.3742,39.48,6350,0
2016-11-02,20:05:00,39.42,39.51,39.31,39.45,33684,0
2016-11-02,20:10:00,39.45,39.455,39.25,39.325,10594,0
2016-11-02,20:15:00,39.325,39.33,39.24,39.3,3950,0
2016-11-02,20:20:00,39.25,39.25,39.01,39.11,11342,0
2016-11-02,20:25:00,39.14,39.18,38.99,39.05,7200,0
2016-11-02,20:30:00,39.055,39.14,38.73,39.13,26326,0
2016-11-02,20:35:00,39.0788,39.21,39.065,39.21,12833,0
2016-11-02,20:40:00,39.22,39.44,39.22,39.355,23863,0
2016-11-02,20:45:00,39.36,39.63,39.34,39.61,34054,0
2016-11-02,20:50:00,39.595,39.86,39.5,39.755,24011,0
2016-11-02,20:55:00,39.73,39.74,39.35,39.58,50578,0
